UNITID,CIPCODE,MAJORNUM,AWLEVEL,XCTOTALT,CTOTALT,XCTOTALM,CTOTALM,XCTOTALW,CTOTALW,XCAIANT,CAIANT,XCAIANM,CAIANM,XCAIANW,CAIANW,XCASIAT,CASIAT,XCASIAM,CASIAM,XCASIAW,CASIAW,XCBKAAT,CBKAAT,XCBKAAM,CBKAAM,XCBKAAW,CBKAAW,XCHISPT,CHISPT,XCHISPM,CHISPM,XCHISPW,CHISPW,XCNHPIT,CNHPIT,XCNHPIM,CNHPIM,XCNHPIW,CNHPIW,XCWHITT,CWHITT,XCWHITM,CWHITM,XCWHITW,CWHITW,XC2MORT,C2MORT,XC2MORM,C2MORM,XC2MORW,C2MORW,XCUNKNT,CUNKNT,XCUNKNM,CUNKNM,XCUNKNW,CUNKNW,XCNRALT,CNRALT,XCNRALM,CNRALM,XCNRALW,CNRALW  ,YEAR
222567,9.0101,1,3,R,8,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,0,R,1,R,3,R,3,R,0,Z,0,Z,0,Z,0,R,3,R,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,0,2020
222567,9.0701,1,2,R,3,R,3,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,R,0,Z,0,Z,0,Z,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,9.0701,1,3,R,12,R,8,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,0,R,1,R,7,R,7,R,0,Z,0,Z,0,Z,0,R,3,R,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,2020
222567,10.0303,1,21,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,11.0201,1,2,R,9,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,11.0201,1,3,R,5,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,11.0201,1,21,R,7,R,6,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,2,R,1,R,1,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,3,R,3,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,12.0503,1,2,R,13,R,8,R,5,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,4,R,2,R,2,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,5,R,3,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,12.0503,1,3,R,8,R,3,R,5,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,4,R,2,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,12.0503,1,21,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,R,1,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,13.1205,1,3,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,2020
222567,13.121,1,3,R,27,R,1,R,26,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,11,Z,0,R,11,Z,0,Z,0,Z,0,R,13,R,1,R,12,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,2020
222567,15.1301,1,2,R,21,R,19,R,2,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,R,2,R,0,R,8,R,7,R,1,Z,0,Z,0,Z,0,R,9,R,9,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2020
222567,15.1301,1,3,R,12,R,9,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,Z,0,Z,0,Z,0,R,7,R,5,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,15.1301,1,21,R,17,R,15,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,11,R,9,R,2,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2020
222567,19.0706,1,2,R,6,Z,0,R,6,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,19.0706,1,3,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,19.0706,1,21,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
222567,22.0302,1,2,R,20,R,1,R,19,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,1,R,8,Z,0,Z,0,Z,0,R,11,Z,0,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2020
