UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR
222567,27,10,4,4,10 ,R,361,R,192.0,R,169.0,R,1.0,R,0.0,R,1.0,R,12.0,R,6.0,R,6.0,R,32.0,R,22.0,R,10.0,R,133.0,R,78.0,R,55.0,R,0.0,R,0.0,R,0.0,R,170.0,R,78.0,R,92.0,R,5.0,R,4.0,R,1.0,R,5.0,R,3.0,R,2.0,R,3.0,R,1.0,R,2.0,2020
222567,29,12,4,4,50 ,R,361,R,192.0,R,169.0,R,1.0,R,0.0,R,1.0,R,12.0,R,6.0,R,6.0,R,32.0,R,22.0,R,10.0,R,133.0,R,78.0,R,55.0,R,0.0,R,0.0,R,0.0,R,170.0,R,78.0,R,92.0,R,5.0,R,4.0,R,1.0,R,5.0,R,3.0,R,2.0,R,3.0,R,1.0,R,2.0,2020
222567,30,13,4,4,29A,R,107,R,47.0,R,60.0,R,0.0,R,0.0,R,0.0,R,4.0,R,1.0,R,3.0,R,6.0,R,4.0,R,2.0,R,37.0,R,15.0,R,22.0,R,0.0,R,0.0,R,0.0,R,57.0,R,25.0,R,32.0,R,1.0,R,1.0,R,0.0,R,1.0,R,0.0,R,1.0,R,1.0,R,1.0,R,0.0,2020
222567,31,14,4,4,11A,R,18,R,16.0,R,2.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,2.0,R,2.0,R,0.0,R,8.0,R,7.0,R,1.0,R,0.0,R,0.0,R,0.0,R,7.0,R,7.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222567,32,15,4,4,12A,R,89,R,31.0,R,58.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,4.0,R,2.0,R,2.0,R,29.0,R,8.0,R,21.0,R,0.0,R,0.0,R,0.0,R,50.0,R,18.0,R,32.0,R,1.0,R,1.0,R,0.0,R,1.0,R,0.0,R,1.0,R,1.0,R,1.0,R,0.0,2020
222567,33,20,4,4,30 ,R,80,R,50.0,R,30.0,R,0.0,R,0.0,R,0.0,R,3.0,R,3.0,R,0.0,R,10.0,R,8.0,R,2.0,R,19.0,R,15.0,R,4.0,R,0.0,R,0.0,R,0.0,R,47.0,R,23.0,R,24.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222567,35,22,4,4,57 ,R,66,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222567,36,23,4,4,55 ,R,16,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222567,37,24,4,4,56 ,R,50,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222567,47,31,4,4,22 ,R,35,R,15.0,R,20.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,4.0,R,2.0,R,2.0,R,16.0,R,11.0,R,5.0,R,0.0,R,0.0,R,0.0,R,13.0,R,1.0,R,12.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222567,48,32,4,4,23 ,R,139,R,80.0,R,59.0,R,1.0,R,0.0,R,1.0,R,4.0,R,2.0,R,2.0,R,12.0,R,8.0,R,4.0,R,61.0,R,37.0,R,24.0,R,0.0,R,0.0,R,0.0,R,53.0,R,29.0,R,24.0,R,2.0,R,1.0,R,1.0,R,4.0,R,3.0,R,1.0,R,2.0,R,0.0,R,2.0,2020
222576,27,10,4,4,10 ,R,734,R,312.0,R,422.0,R,1.0,R,0.0,R,1.0,R,23.0,R,12.0,R,11.0,R,31.0,R,8.0,R,23.0,R,355.0,R,135.0,R,220.0,R,1.0,R,0.0,R,1.0,R,302.0,R,151.0,R,151.0,R,16.0,R,3.0,R,13.0,R,5.0,R,3.0,R,2.0,R,0.0,R,0.0,R,0.0,2020
222576,28,11,4,4,45 ,R,1,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222576,29,12,4,4,50 ,R,733,R,311.0,R,422.0,R,1.0,R,0.0,R,1.0,R,23.0,R,12.0,R,11.0,R,31.0,R,8.0,R,23.0,R,354.0,R,134.0,R,220.0,R,1.0,R,0.0,R,1.0,R,302.0,R,151.0,R,151.0,R,16.0,R,3.0,R,13.0,R,5.0,R,3.0,R,2.0,R,0.0,R,0.0,R,0.0,2020
222576,30,13,4,4,29A,R,232,R,102.0,R,130.0,R,0.0,R,0.0,R,0.0,R,8.0,R,4.0,R,4.0,R,6.0,R,1.0,R,5.0,R,119.0,R,49.0,R,70.0,R,1.0,R,0.0,R,1.0,R,93.0,R,46.0,R,47.0,R,3.0,R,1.0,R,2.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
222576,31,14,4,4,11A,R,44,R,29.0,R,15.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,1.0,R,0.0,R,1.0,R,26.0,R,17.0,R,9.0,R,0.0,R,0.0,R,0.0,R,16.0,R,12.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222576,32,15,4,4,12A,R,188,R,73.0,R,115.0,R,0.0,R,0.0,R,0.0,R,7.0,R,4.0,R,3.0,R,5.0,R,1.0,R,4.0,R,93.0,R,32.0,R,61.0,R,1.0,R,0.0,R,1.0,R,77.0,R,34.0,R,43.0,R,3.0,R,1.0,R,2.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
222576,33,20,4,4,30 ,R,108,R,36.0,R,72.0,R,1.0,R,0.0,R,1.0,R,4.0,R,1.0,R,3.0,R,7.0,R,2.0,R,5.0,R,42.0,R,14.0,R,28.0,R,0.0,R,0.0,R,0.0,R,51.0,R,18.0,R,33.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222576,35,22,4,4,57 ,R,125,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222576,36,23,4,4,55 ,R,28,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222576,37,24,4,4,56 ,R,97,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222576,47,31,4,4,22 ,R,98,R,24.0,R,74.0,R,0.0,R,0.0,R,0.0,R,5.0,R,3.0,R,2.0,R,5.0,R,0.0,R,5.0,R,53.0,R,9.0,R,44.0,R,0.0,R,0.0,R,0.0,R,33.0,R,12.0,R,21.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222576,48,32,4,4,23 ,R,295,R,149.0,R,146.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,13.0,R,5.0,R,8.0,R,140.0,R,62.0,R,78.0,R,0.0,R,0.0,R,0.0,R,125.0,R,75.0,R,50.0,R,8.0,R,1.0,R,7.0,R,3.0,R,2.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
222822,27,10,4,4,10 ,R,505,R,231.0,R,274.0,R,3.0,R,2.0,R,1.0,R,2.0,R,2.0,R,0.0,R,77.0,R,26.0,R,51.0,R,164.0,R,78.0,R,86.0,R,0.0,R,0.0,R,0.0,R,231.0,R,112.0,R,119.0,R,22.0,R,8.0,R,14.0,R,1.0,R,0.0,R,1.0,R,5.0,R,3.0,R,2.0,2020
222822,29,12,4,4,50 ,R,505,R,231.0,R,274.0,R,3.0,R,2.0,R,1.0,R,2.0,R,2.0,R,0.0,R,77.0,R,26.0,R,51.0,R,164.0,R,78.0,R,86.0,R,0.0,R,0.0,R,0.0,R,231.0,R,112.0,R,119.0,R,22.0,R,8.0,R,14.0,R,1.0,R,0.0,R,1.0,R,5.0,R,3.0,R,2.0,2020
222822,30,13,4,4,29A,R,126,R,60.0,R,66.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,20.0,R,8.0,R,12.0,R,34.0,R,16.0,R,18.0,R,0.0,R,0.0,R,0.0,R,66.0,R,35.0,R,31.0,R,6.0,R,1.0,R,5.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222822,31,14,4,4,11A,R,49,R,28.0,R,21.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,10.0,R,3.0,R,7.0,R,10.0,R,8.0,R,2.0,R,0.0,R,0.0,R,0.0,R,29.0,R,17.0,R,12.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222822,32,15,4,4,12A,R,77,R,32.0,R,45.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,10.0,R,5.0,R,5.0,R,24.0,R,8.0,R,16.0,R,0.0,R,0.0,R,0.0,R,37.0,R,18.0,R,19.0,R,6.0,R,1.0,R,5.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222822,33,20,4,4,30 ,R,129,R,57.0,R,72.0,R,1.0,R,1.0,R,0.0,R,1.0,R,1.0,R,0.0,R,16.0,R,5.0,R,11.0,R,31.0,R,16.0,R,15.0,R,0.0,R,0.0,R,0.0,R,74.0,R,33.0,R,41.0,R,6.0,R,1.0,R,5.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222822,35,22,4,4,57 ,R,61,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222822,36,23,4,4,55 ,R,25,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222822,37,24,4,4,56 ,R,36,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
222822,47,31,4,4,22 ,R,55,R,15.0,R,40.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,6.0,R,0.0,R,6.0,R,30.0,R,9.0,R,21.0,R,0.0,R,0.0,R,0.0,R,16.0,R,5.0,R,11.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222822,48,32,4,4,23 ,R,195,R,99.0,R,96.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,35.0,R,13.0,R,22.0,R,69.0,R,37.0,R,32.0,R,0.0,R,0.0,R,0.0,R,75.0,R,39.0,R,36.0,R,8.0,R,6.0,R,2.0,R,1.0,R,0.0,R,1.0,R,5.0,R,3.0,R,2.0,2020
222831,2,12,1,1,999,R,1254,R,577.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,109.0,R,59.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,629.0,R,282.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020
222831,3,13,1,1,999,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020
222831,4,20,1,1,999,R,398,R,184.0,R,214.0,R,2.0,R,0.0,R,2.0,R,2.0,R,1.0,R,1.0,R,59.0,R,36.0,R,23.0,R,136.0,R,62.0,R,74.0,R,2.0,R,1.0,R,1.0,R,175.0,R,72.0,R,103.0,R,18.0,R,8.0,R,10.0,R,0.0,R,0.0,R,0.0,R,4.0,R,4.0,R,0.0,2020
222831,6,10,2,2,10 ,R,1256,R,579.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,110.0,R,60.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,630.0,R,283.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020
222831,7,11,2,2,45 ,R,2,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222831,8,12,2,2,50 ,R,1254,R,577.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,109.0,R,59.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,629.0,R,282.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020
222831,9,13,2,2,29A,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020
222831,12,16,2,2,18A,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020
222831,13,17,2,2,19 ,R,389,R,130.0,R,259.0,R,0.0,R,0.0,R,0.0,R,5.0,R,3.0,R,2.0,R,20.0,R,4.0,R,16.0,R,102.0,R,35.0,R,67.0,R,0.0,R,0.0,R,0.0,R,248.0,R,82.0,R,166.0,R,10.0,R,4.0,R,6.0,R,0.0,R,0.0,R,0.0,R,4.0,R,2.0,R,2.0,2020
222831,14,18,2,2,20 ,R,105,R,56.0,R,49.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,5.0,R,3.0,R,2.0,R,45.0,R,21.0,R,24.0,R,0.0,R,0.0,R,0.0,R,52.0,R,30.0,R,22.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,2020
222831,15,19,2,2,21 ,R,43,R,25.0,R,18.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3.0,R,3.0,R,0.0,R,20.0,R,8.0,R,12.0,R,0.0,R,0.0,R,0.0,R,18.0,R,13.0,R,5.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2020
222831,16,20,2,2,30 ,R,398,R,184.0,R,214.0,R,2.0,R,0.0,R,2.0,R,2.0,R,1.0,R,1.0,R,59.0,R,36.0,R,23.0,R,136.0,R,62.0,R,74.0,R,2.0,R,1.0,R,1.0,R,175.0,R,72.0,R,103.0,R,18.0,R,8.0,R,10.0,R,0.0,R,0.0,R,0.0,R,4.0,R,4.0,R,0.0,2020
222831,40,11,1,1,999,R,2,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
222831,41,31,1,1,999,R,33,R,21.0,R,12.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,16.0,R,7.0,R,9.0,R,0.0,R,0.0,R,0.0,R,13.0,R,11.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,2020
222831,42,32,1,1,999,R,286,R,161.0,R,125.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,21.0,R,13.0,R,8.0,R,110.0,R,60.0,R,50.0,R,2.0,R,1.0,R,1.0,R,123.0,R,74.0,R,49.0,R,15.0,R,7.0,R,8.0,R,0.0,R,0.0,R,0.0,R,14.0,R,6.0,R,8.0,2020
222831,43,31,2,2,22 ,R,33,R,21.0,R,12.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,16.0,R,7.0,R,9.0,R,0.0,R,0.0,R,0.0,R,13.0,R,11.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,2020
222831,44,32,2,2,23 ,R,286,R,161.0,R,125.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,21.0,R,13.0,R,8.0,R,110.0,R,60.0,R,50.0,R,2.0,R,1.0,R,1.0,R,123.0,R,74.0,R,49.0,R,15.0,R,7.0,R,8.0,R,0.0,R,0.0,R,0.0,R,14.0,R,6.0,R,8.0,2020
222992,2,12,1,1,999,R,2225,R,1126.0,R,1099.0,R,15.0,R,4.0,R,11.0,R,120.0,R,61.0,R,59.0,R,95.0,R,47.0,R,48.0,R,672.0,R,313.0,R,359.0,R,3.0,R,2.0,R,1.0,R,912.0,R,492.0,R,420.0,R,91.0,R,52.0,R,39.0,R,208.0,R,96.0,R,112.0,R,109.0,R,59.0,R,50.0,2020
222992,3,13,1,1,999,R,257,R,131.0,R,126.0,R,1.0,R,1.0,Z,0.0,R,16.0,R,3.0,R,13.0,R,10.0,R,7.0,R,3.0,R,78.0,R,36.0,R,42.0,Z,0.0,Z,0.0,Z,0.0,R,104.0,R,59.0,R,45.0,R,5.0,R,2.0,R,3.0,R,27.0,R,12.0,R,15.0,R,16.0,R,11.0,R,5.0,2020
222992,4,20,1,1,999,R,931,R,471.0,R,460.0,R,7.0,R,1.0,R,6.0,R,60.0,R,30.0,R,30.0,R,36.0,R,16.0,R,20.0,R,225.0,R,114.0,R,111.0,R,0.0,R,0.0,R,0.0,R,432.0,R,223.0,R,209.0,R,43.0,R,25.0,R,18.0,R,100.0,R,51.0,R,49.0,R,28.0,R,11.0,R,17.0,2020
222992,18,10,3,3,10 ,R,2225,R,1126.0,R,1099.0,R,15.0,R,4.0,R,11.0,R,120.0,R,61.0,R,59.0,R,95.0,R,47.0,R,48.0,R,672.0,R,313.0,R,359.0,R,3.0,R,2.0,R,1.0,R,912.0,R,492.0,R,420.0,R,91.0,R,52.0,R,39.0,R,208.0,R,96.0,R,112.0,R,109.0,R,59.0,R,50.0,2020
222992,20,12,3,3,50 ,R,2225,R,1126.0,R,1099.0,R,15.0,R,4.0,R,11.0,R,120.0,R,61.0,R,59.0,R,95.0,R,47.0,R,48.0,R,672.0,R,313.0,R,359.0,R,3.0,R,2.0,R,1.0,R,912.0,R,492.0,R,420.0,R,91.0,R,52.0,R,39.0,R,208.0,R,96.0,R,112.0,R,109.0,R,59.0,R,50.0,2020
222992,21,13,3,3,29A,R,257,R,131.0,R,126.0,R,1.0,R,1.0,Z,0.0,R,16.0,R,3.0,R,13.0,R,10.0,R,7.0,R,3.0,R,78.0,R,36.0,R,42.0,Z,0.0,Z,0.0,Z,0.0,R,104.0,R,59.0,R,45.0,R,5.0,R,2.0,R,3.0,R,27.0,R,12.0,R,15.0,R,16.0,R,11.0,R,5.0,2020
222992,22,14,3,3,11A,R,15,R,13.0,R,2.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,1.0,R,1.0,Z,0.0,R,4.0,R,4.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,9.0,R,8.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,R,1.0,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,2020
222992,23,15,3,3,12A,R,241,R,118.0,R,123.0,R,1.0,R,1.0,Z,0.0,R,16.0,R,3.0,R,13.0,R,9.0,R,6.0,R,3.0,R,74.0,R,32.0,R,42.0,Z,0.0,Z,0.0,Z,0.0,R,94.0,R,51.0,R,43.0,R,5.0,R,2.0,R,3.0,R,26.0,R,12.0,R,14.0,R,16.0,R,11.0,R,5.0,2020
222992,24,16,3,3,18A,R,1,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,1.0,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,2020
222992,25,20,3,3,30 ,R,931,R,471.0,R,460.0,R,7.0,R,1.0,R,6.0,R,60.0,R,30.0,R,30.0,R,36.0,R,16.0,R,20.0,R,225.0,R,114.0,R,111.0,R,0.0,R,0.0,R,0.0,R,432.0,R,223.0,R,209.0,R,43.0,R,25.0,R,18.0,R,100.0,R,51.0,R,49.0,R,28.0,R,11.0,R,17.0,2020
222992,41,31,1,1,999,R,421,R,207.0,R,214.0,R,1.0,R,1.0,R,0.0,R,24.0,R,15.0,R,9.0,R,21.0,R,9.0,R,12.0,R,157.0,R,68.0,R,89.0,R,0.0,R,0.0,R,0.0,R,133.0,R,71.0,R,62.0,R,14.0,R,9.0,R,5.0,R,41.0,R,20.0,R,21.0,R,30.0,R,14.0,R,16.0,2020
222992,42,32,1,1,999,R,616,R,317.0,R,299.0,R,6.0,R,1.0,R,5.0,R,20.0,R,13.0,R,7.0,R,28.0,R,15.0,R,13.0,R,212.0,R,95.0,R,117.0,R,3.0,R,2.0,R,1.0,R,243.0,R,139.0,R,104.0,R,29.0,R,16.0,R,13.0,R,40.0,R,13.0,R,27.0,R,35.0,R,23.0,R,12.0,2020
222992,45,31,3,3,22 ,R,421,R,207.0,R,214.0,R,1.0,R,1.0,R,0.0,R,24.0,R,15.0,R,9.0,R,21.0,R,9.0,R,12.0,R,157.0,R,68.0,R,89.0,R,0.0,R,0.0,R,0.0,R,133.0,R,71.0,R,62.0,R,14.0,R,9.0,R,5.0,R,41.0,R,20.0,R,21.0,R,30.0,R,14.0,R,16.0,2020
222992,46,32,3,3,23 ,R,616,R,317.0,R,299.0,R,6.0,R,1.0,R,5.0,R,20.0,R,13.0,R,7.0,R,28.0,R,15.0,R,13.0,R,212.0,R,95.0,R,117.0,R,3.0,R,2.0,R,1.0,R,243.0,R,139.0,R,104.0,R,29.0,R,16.0,R,13.0,R,40.0,R,13.0,R,27.0,R,35.0,R,23.0,R,12.0,2020
223320,27,10,4,4,10 ,R,407,R,224.0,R,183.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,7.0,R,4.0,R,3.0,R,265.0,R,134.0,R,131.0,R,0.0,R,0.0,R,0.0,R,101.0,R,64.0,R,37.0,R,11.0,R,9.0,R,2.0,R,2.0,R,1.0,R,1.0,R,20.0,R,11.0,R,9.0,2020
223320,29,12,4,4,50 ,R,407,R,224.0,R,183.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,7.0,R,4.0,R,3.0,R,265.0,R,134.0,R,131.0,R,0.0,R,0.0,R,0.0,R,101.0,R,64.0,R,37.0,R,11.0,R,9.0,R,2.0,R,2.0,R,1.0,R,1.0,R,20.0,R,11.0,R,9.0,2020
223320,30,13,4,4,29A,R,92,R,45.0,R,47.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,2.0,R,1.0,R,1.0,R,61.0,R,31.0,R,30.0,R,0.0,R,0.0,R,0.0,R,21.0,R,10.0,R,11.0,R,3.0,R,2.0,R,1.0,R,0.0,R,0.0,R,0.0,R,4.0,R,0.0,R,4.0,2020
223320,31,14,4,4,11A,R,29,R,16.0,R,13.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,22.0,R,13.0,R,9.0,R,0.0,R,0.0,R,0.0,R,4.0,R,2.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,0.0,R,2.0,2020
223320,32,15,4,4,12A,R,63,R,29.0,R,34.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,2.0,R,1.0,R,1.0,R,39.0,R,18.0,R,21.0,R,0.0,R,0.0,R,0.0,R,17.0,R,8.0,R,9.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,2.0,R,0.0,R,2.0,2020
223320,33,20,4,4,30 ,R,76,R,42.0,R,34.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,50.0,R,26.0,R,24.0,R,0.0,R,0.0,R,0.0,R,14.0,R,7.0,R,7.0,R,5.0,R,5.0,R,0.0,R,0.0,R,0.0,R,0.0,R,4.0,R,3.0,R,1.0,2020
223320,35,22,4,4,57 ,R,68,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
223320,36,23,4,4,55 ,R,20,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
