UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR
222567,1,1,999,R,8414,R,3712,R,4702,R,76,R,35,R,41,R,574,R,253,R,321,R,1214,R,527,R,687,R,2971,R,1286,R,1685,R,10,R,7,R,3,R,3323,R,1488,R,1835,R,0,R,0,Z,0,R,108,R,67,R,41,R,138,R,49,R,89,2020
222567,2,2,1,R,8414,R,3712,R,4702,R,76,R,35,R,41,R,574,R,253,R,321,R,1214,R,527,R,687,R,2971,R,1286,R,1685,R,10,R,7,R,3,R,3323,R,1488,R,1835,R,0,R,0,Z,0,R,108,R,67,R,41,R,138,R,49,R,89,2020
222567,3,-2,1,R,5495,R,2388,R,3107,R,47,R,24,R,23,R,238,R,100,R,138,R,713,R,345,R,368,R,1929,R,810,R,1119,R,5,R,4,R,1,R,2413,R,1044,R,1369,R,0,R,0,Z,0,R,54,R,30,R,24,R,96,R,31,R,65,2020
222567,4,-2,1,R,1120,R,559,R,561,R,10,R,2,R,8,R,32,R,16,R,16,R,140,R,89,R,51,R,444,R,199,R,245,R,0,R,0,Z,0,R,464,R,232,R,232,R,0,R,0,Z,0,R,15,R,11,R,4,R,15,R,10,R,5,2020
222567,5,-2,1,R,4375,R,1829,R,2546,R,37,R,22,R,15,R,206,R,84,R,122,R,573,R,256,R,317,R,1485,R,611,R,874,R,5,R,4,R,1,R,1949,R,812,R,1137,R,0,R,0,Z,0,R,39,R,19,R,20,R,81,R,21,R,60,2020
222567,11,-2,1,R,2919,R,1324,R,1595,R,29,R,11,R,18,R,336,R,153,R,183,R,501,R,182,R,319,R,1042,R,476,R,566,R,5,R,3,R,2,R,910,R,444,R,466,R,0,R,0,Z,0,R,54,R,37,R,17,R,42,R,18,R,24,2020
222567,19,-2,1,R,2071,R,811,R,1260,R,18,R,9,R,9,R,108,R,40,R,68,R,341,R,132,R,209,R,587,R,224,R,363,R,4,R,3,R,1,R,948,R,385,R,563,R,0,R,0,Z,0,R,17,R,8,R,9,R,48,R,10,R,38,2020
222567,20,-2,1,R,2304,R,1018,R,1286,R,19,R,13,R,6,R,98,R,44,R,54,R,232,R,124,R,108,R,898,R,387,R,511,R,1,R,1,Z,0,R,1001,R,427,R,574,R,0,R,0,Z,0,R,22,R,11,R,11,R,33,R,11,R,22,2020
222567,22,-2,1,R,2230,R,1008,R,1222,R,19,R,7,R,12,R,118,R,51,R,67,R,238,R,116,R,122,R,857,R,366,R,491,R,0,R,0,Z,0,R,915,R,434,R,481,R,0,R,0,Z,0,R,23,R,13,R,10,R,60,R,21,R,39,2020
222567,23,-2,1,R,1979,R,913,R,1066,R,17,R,6,R,11,R,87,R,36,R,51,R,210,R,106,R,104,R,747,R,327,R,420,R,0,R,0,Z,0,R,841,R,406,R,435,R,0,R,0,Z,0,R,21,R,12,R,9,R,56,R,20,R,36,2020
